0,1,2,3,4,5,6
Sr.No.,Particulars,Q4FY18(In Rs. Cr.),Q3FY18(In Rs. Cr.),%QoQ,Q4FY17(In Rs. Cr.),%YoY
1,Total Income,"1,432","1,342",7%,"1,656",(14%)
2,Profit before tax,384,318,21%,298,29%
3,Net Profit,240,207,16%,207,16%
