0,1,2,3,4
Rofit / (Loss) from Operating Activities,"70,052","79,060","303,279","354,504"
Less: Finance cost (net),"18,293","19,162","80,712","76,975"
Less: Non Operating Btpense,188,474,141,"1,319"
Add: Derivatives and exchange (gain)/loss,75,81,"4,747","7,456"
Cash Profit from Operations before Derivative &Exchange Fluctuation,"51,646","59,505","227,169","283,668"
