0,1,2,3,4,5,6
,Particulars,ISIN No.,"Previous Date October 01, 2017till March 31,2018)*","Next Date (April 01, 2018 tillSeptember 30, 2018)",,
,,,Principal,Interest,Principal,Interest
1.,NCD Series 3,INE036A07039,N.A.,N.A.,"August 19,2018","August 19, 2018"
2.,NCD Series 4,INE036A07096,"February 23, 2018",February 23. 2018,-,*
3.,NCD Series 5,INE036A07104,N.A.,"January 25, 2018","July 27, 2018","July 27, 2018"
4.,NCD Series 6,INE036A07112,January 25. 2018,January 25. 2018,N.A.,N.A.
5.,NCD Series 10,INE036A07146,"March 31,2018",March 31.2018,-,-
6.,NCD Series 11A,INE036A07153,r~NA,N A.,N.A.,"June 15, 2018"
7.,NCD Series 11B,INE036A07161,N.A.,N.A.,June 15. 2018,"June 15, 2018"
8.,NCD Series 11C,INE036A07195,N.A.,N A,N.A.,"June 29, 2018"
9,NCD Series 11D,INE036A07203,N.A.,N.A.,Jure 29. 2018,"June 29, 2018"
"10,",NCD Series 12A,INE036A07179,N.A.,N.A.,N.A.,June 15. 2018
11,NCD Series 12B,INE036A07187,N.A.,N.A.,"June 15, 2018","June 15, 2018"
12.,NCD Series 12C,INE036A07211,N.A.,N A.,"June 29, 2018","June 29, 2018"
13,NCD Series 12D,INE036A07229,N.A,N.A,N.A.,"June 29, 2018"
14.,NCD Series 13A,INE036A07237,N.A.,N.A.,"July 26, 2018","July 26, 2018"
15.,NCD Series 13B,INE036A07245,N.A.,N.A.,N.A.,"July 26, 2018"
16,NCD Series 14,INE036A07252,N.A.,N.A.,N.A.,August 6. 2018
17,NCD Series 16,INE036A07278,N.A.,"October 31, 201 7",N A.,"N.A,"
18.,NCD Series 17,INE036A07286,N.A.,November 12.2017,N.A.,N A
19.,NCD Series 18,INE036A07294,N.A.,"January 21, 2018",N.A.,"April 21, 2018"
20.,NCD Series 19,INE036A07302,N.A.,"January 21, 2018",r~NA,N.A.
21.,NCD Series 20D,INE036A07344,N.A,N.A,N.A,N.A.
22.,NCD Series 20E,INE036A07351,N.A.,N.A,N.A.,N.A.
23.,NCD Series 21D,INE036A07401,"March 23,2018","March 23, 2018",-,-
24,NCD Series 25B,INE036A07450,N. A.,N A.,-,-
25.,NCD Series 25C,INE036A07468,March 23. 2018,March 23. 2018,.,
26.,NCD Series 25D,INE036A07476,N. A.,March 26. 2018,April 25. 2018,"April 25, 2018"
27.,NCD Series 25E,INE036A07484,N A,March 26.2018,N.A.,April 25. 2018
28.,NCD Series 25F,INE036A07492,N A.,March 26 2018,N.A.,April 25. 2018
29.,NCD Series 26,INE036A07500,N A,February 28.2018,May 30. 2018,May 30. 2018
30.,NCD Senes 27,INE036A07559,N.A.,N.A.,N.A,N A.
