0,1,2,3,4,5
Annexure-2,,,,,
ISIN NO,Series,ISSUE SIZERs in Cr,Maturity date,Principal/InterestDue date,Category
INE121AQ7LG7,471,30.00,29-Mar-19,2-Apr-18,Interest
INE121A07LI3,473,50.00,4-Apr-19,4-Apr-18,Interest
INE121AQ7NM1,529,150.00,5-Jun-20,5-Apr-18,Interest
INE121A07JA4,413,30.00,9-Apr-18,9-Apr-18,Principal + Interest
INE121A07LK9,475,25.00,5-Apr-19,9-Apr-18,Interest
INE121A07JH9,420,10.00,17-Apr-18,17-Apr-18,Principal + Interest
INE121A07LM5,477,10.00,5-Apr-19,18-Apr-18,Interest
INE121A07LO1,479,5.00,17-Apr-20,18-Apr-18,Interest
INE121A07JF3,418,25 00,20-Apr-18,20-Apr-18,Principal + Interest
INE121A08NN7,SD40,25.00,25-Apr-24,25-Apr-18,Interest
INE121A07NN9,530,175.00,25-Oct-19,26-Apr-18,Interest
INE121A07NP4,532,25.00,26-Apr-19,26-Apr-18,Interest
INE121A07JS6,431,6 00,30~Apr-18,30-Apr-18,Principal + Interest
INE121A08LS0,SD17,100.00,28-Apr-20,2-May-18,Interest
INE121A08LT8,SD18,11 50,6-May-20,7-May-18,Interest
INE121A08MH1,SD24,100.00,7-May-19,7-May-18,Interest
INE121A07GW4,363,10.00,7-May-18,7-May-18,Principal + Interest
INE121A07LQ6,481,50.00,11-Mar-19,10-Mav-18,Interest
INE121A07LR4,482,50.00,11-May-18,11-May-18,Principal + Interest
INE121A07GQ6,357,50.00,16-May-18,16-May-18,Principal + Interest
INE121A07LS2,483,25.00,17-May-19,17-May-18,Interest
INE121A08MI9,SD25,50.00,17-May-19,18-May-18,Interest
INE121AQ7LU8,485,200.00,18-May-18,18-May-18,Principal + Interest
INE121A08LJ9,SD10,10 00,21-Nov-18,21-May-18,Interest
INE121A08NO5,SD41,5.00,20-May-24,21-May-18,Interest
INE121A07GX2,364,40.00,21-May-18,21-May-18,Principal + Interest
INE121A07LT0,484,500.00,20-May-19,21-May-18,Interest
INE121A07GZ7,366,50.00,23-May-18,23-May-18,Principal + Interest
INE121A07KC8,441,30.00,25-May-18,25-Mav-18,Principal + Interest
INE121A07KE4,443,18.00,25-May-18,25-Mav-18,Principal + Interest
INE121A07NG2,533,200.00,25-Feb-20,25-May-18,Interest
INE121A07NR0,534,10.00,25-May-20,25-May-18,Interest
INE121A08NV0,SD45,315.00,28-Nov-21,28-May-18,Interest
INE121A07NT6,536,70.00,26-May-20,28-Mav-18,Interest
INE121A08NP2,SD42,100.00,28-May-21,30-May-18,Interest
INE121A07LX2,488,160.00,30-May-18,30-May-18,Principal + Interest
INE121A07LV6,486,195.00,30-May-18,30-May-18,Principal + Interest
INE121A07LZ7,490,250.00,30-May-18,30-May-18,Principal + Interest
INE121A07MC4,493,100.00,30-May-18,30-May-18,Principal + Interest
INE121A07NU4,537,100.00,30-May-19,30-May-18,Interest
INE121A08LK7,SD11,1.00,1-Jun-18,1-Jun-18,Principal + Interest
INE121A08LK7,SD12,0.50,1-dun-18,1-Jun-18,Principal + Interest
INE121A07LW4,487,50.00,31-May-19,1-Jun-18,Interest
INE121A07LY0,489,225.00,3-Jun-19,4-Jun-18,Interest
INE121A07MA8,491,420.00,5-Jun-18,5-Jun-18,Principal + Interest
INE121AQ8MD0,PDI 5,75.00,7-Dec-21,7-Jun-18,Interest
INE121A08MJ7,SD26,50 00,7-Jun-19,8-Jun-18,Interest
INE121A07MB6,492,40.00,5-Jun-19,11-Jun-18,Interest
INE121A08NQ0,SD43,15.00,1 l-Jun-24,11-Jun-18,Interest
!NE121A08OC8,SD52,125.00,15-Jun-27,15-Jun-18,Interest
INE121AG7MF7,496,100.00,15-Jun-18,15-Jun-18,Principal + Interest
INE121A08NR8,SD44,100.00,18-Jun-21,18-Jun-18,Interest
