0,1,2,3,4,5,6,7,8,9
700F'i,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18
quire merit,831,862,937,996,1002,1069,1114,1143,1195
■^“Availability,747,788,858,909,960,1031,1091,1135,1187
