0,1,2
Sr No,Name of Entity,Relationship
I,1RB Ahmedabad Vadodara Super Express Tollway Private Limited,Subsidiary
2,Modern Road Makers Private Limited,Subsidiary
3,AE Tollway Private Limited,Subsidiary
4,Yedeshi Aurangabad To 11 way Private Limited,Subsidiary
5,1RB Westcoast Tollway Private Limited,Subsidiary'
6,Mhaiskar Infrastructure Private Limited,Subsidiary
7,Kaithal Tollway Private Limited,Subsidiary
8,Solapur Yedeshi Tollway Private Limited,Subsidiary
9,Ideal Road Builders Private Limited,Subsidiary
10,1RB Kolhapur Integrated Road Development Company Private Limited,Subsidiary
11,1RB Goa Tollway Private Limited,Subsidiary
12,ATR Infrastructure Developers Limited,Subsidiary
13,1RB Sindhudurg Airport Private Limited,Subsidiary
14,Aryan Toll Road Private Limited,Subsidiary
16,Thane Ghodbunder Toll Road Private Limited,Subsidiary
17,NKT Road and Toll Private Limited,Subsidiary
18,Aryan Hospitality Private Limited,Subsidiary
19,1RB Infrastructure Private Limited,Subsidiary
20,CGTollway Private Limited,Subsidiary
21,MMK Toll Road Private Limited,Subsidiary
22,Udaipur Tollway Private Limited,Subsidiary
23,Modern Estate - Partnership Firm,Subsidiary
24,Kishangarh Gulabpura Tollway Private Limited,Subsidiary
25,Zozila Tunnel Project Private Limited,Subsidiary
26,MRM Mining Private Limited,Subsidiary
27,MRM Highways Private Limited,Subsidiary
28,1RB Tumkur Chitradurga Tollway Private Limited ( upto 8 May 2017),Subsidiary
29,1RB Talegaon Amravati Tollway Private Limited ( upto 8 May 2017),Subsidiary
30,1RB Jaipur Deoli Tollway Private Limited ( upto 8 May 2017),Subsidiary
31,IRB Surat Dahisar ToIIway Private Limited ( upto 8 May 2017),Subsidiary
32,1DAA Infrastructure Private Limited ( upto 8 May 2017),Subsidiary
33,MVR Infrastructure and Tollways Private Limited ( upto 8 May 2017),Subsidiary
34,IRB Pathankot Amritsar Toll Road Private Limited (upto 28 September 2017),Subsidiary
