0,1,2
Non - GAAP measure,Equivalent GAAP measure forInd-AS,Location in this results announcement ofreconciliation and further information
"Earnings before Interest, Taxation,Depreciation and Amortization (EBITDA)","Profit from operating activities beforedepreciation, amortization andexceptional items",Page 33
,Profit from operating activities,
Cash Profit from Operations before Derivative,"before depreciation, amortization",Page 33
& Exchange (Gain)/Loss,and exceptional items,
Capex,NA,NA
Operating Free Cash flow,NA,NA
Cumulative investments,NA,NA
