0,1,2,3,4,5,6
Particularscrore),Q4FY2017-18,Q4FY2016-17,%Growth,FY2017-18,FY2016-17,%Growth
Total Income,"2,657","2,047",30%,"9,981","8,674",15%
PBDIT *,440,240,83%,"1,403","1,176",19%
Depreciation,53,39,-,175,148,-
PBIT*,387,201,93%,"1,228","1,028",19%
Interest,103,84,-,413,402,-
Net Profit *#,199,46,337%,421,256,64%
