0,1,2,3,4
Parameters,Unit,"Mar 31,2018","Dec 31, Q-on-Q2017 Growth","Mar 31, Y-on-Y2017 Growth"
Digital TV Customers,000's,"14,168","13,937 1.7%","12,815 10.6%"
Net additions,000's,230,416 -44.7%,228 1.1%
Average Revenue Per User (ARPU),Rs,228,233 -2.5%,228 0.1%
Average Revenue Per User (ARPU),US$,3.5,3.6 -1.9%,3.4 4.4%
Monthly Churn,%,1.1%,1.2%,1.2%
