0,1,2,3,4,5,6
ConsolidatedNos.,INR Crore,QoQGrowth,YoYGrowth,USDMn,QoQGrowth,YoYGrowth
Gross Revenue,"4,008.6",(2.6%),(6.6%),623,(1.9%),(2.6%)
EBITDA,555.5,(9.4%),12.0%,86.3,(8.8%),16.8%
EBITDA margin,13.9%,(100 Bps),230 Bps,13.9%,(100 Bps),230 Bps
PAT,(121)_,,,(18.8),,
