0,1,2,3,4,5,6,7,8,9
Quarter-ended,Year ended,Quarter-ended,Year ended,,,,,,
Audited,Unaudited,Audited,Audited,Audited,Audited,Unaudited,Audited,Audited,Audited
(Refer note 3),(Refer note 5),(Refer note 3),,,(Refer note 3),(Refer note 5),(Rorer note 3),,
31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017
97.162,97.625,"44,330","2,86.260",).94.539,"1,53.237","1.61,433",70.855,"4.63,416","3.01,438"
1.468,"1,524","1,750","6,132","6,948",1.274,"2,417",2.381,"5,416","6,150"
"98,630","99,149","46,080","2,92,392","2,01,487","1,54,511","1,63,850","73,236","4,68,832","3,07,588"
(0),0,1,0,14,176,227,318,937,"1,119"
0,*,,0,-,78,26,(69),174,(52)
78.293,79.787,"33,113",2.28.032,1.31.854,"86,636","84,774","36,509","2,47,660","1,43.724"
"2,914","2,750","1,324","8,775","5,761","6,685","6,730","3,476",20.961,"14,608"
"3,92)","5,520","2,803","14,890","10,014","13,294","14,338","5,847","39,637",22.923
"7,920","8,211","2,212","20,640","7,766","34,714","35,249","18,150","1,07,172","69,080"
"11,109","11,719","5,573","34,248","20,285","19,597","19,892","10,844","62,082","45,237"
"1,04,157","1,07,987","45,026","3,06,585","1,75,694","1,61,180","1,61,236","75,075","4,78,623","2,96,639"
"(5,527)","(8,838)","1,054","(14,193)","25,793","(6,669)","2,614","(1,839)","(9,791)","10,949"
"(5,527)","(8,838)","1,054","(14,193)","25,793",(6.669),"2,614","(1,839)",(9.791),"10,949"
"(2,201)","1,117",640,-,"8,789","(3,781)","1,316","1,222",527,9.816
,(196),,(196),(260),-,(302),-,(302),
"15,469","(23,242)",(71),"(8,918)",475,(14.709),"18,296",(112),(1.659),"(7,079)"
,133,-,133,-,,133,-,133,-
"(18,795)","13,350",485,(5.212),"16,789","11,821",(16.829),"(2,949)","(8,490)","8,212"
,,_,,_,(0),(0),.,_(21,_(21
"(18,795)","13,350",485,"(5,212)","16,789","11,821","(16,829)","(2,949)","(8,490)","8,212"
"6,885","12,101",-,"18,986",-,-,-,-,-,-
"9,562",878,.,"10,440",.,_,_,.,,
"(2,677)","11,223",-,8.546,-,-,-,-,_,
"(21,472)","24,573",485,"3,334","16,789","11,821","(16,829)","(2,949)","(8,490)","8,212"
124,_,35,124,35,266,(0),105,266,105
(43),-,(12),(43),(12),(93),-,(36),(93),(36)
-,-,•,,-,(8),198,246,184,388
"(21,391)","24,573",508,3.415,16.812,11.986,"(16,631)","(2,634)",(8.133),0.669
"(21,472)","24,573",485,"3,334","16,789",12.125,"(16,374)","(2,447)","(7,504)","9,206"
,,,’,,(304),(455),(502),(986),(994)
81,-,23,81,23,147,180,241,302,341
-,-,*,-,-,18,18,74,55,116
(21.391),"24,573",508,"3,415",16.812,12.272,(16.194),"(2,206)",(7.202),"9,547"
-,*,,-,*,(286),(437),(428),(931),(878)
18.413,"18,413","10,659",18.413,10.659,18.413,"18,413",10.659,18.413,"10,659"
"6,53.864","6,75,343","17,073","6,53.864",17.073,"6.55,532","6,43,415","29,580","6.55,532","29,580"
(1.67),1.19,0.05,(0.48),1.57,1.08,(1.46),(0.27),(0.69),0.80
(1.67),1.19,0.05,(0.48),1.57,1.08,(1.46),(0.27),(0.69),0.80
(0.24),1.00,,0.79,,_,.,_,_,.
(0.24),1.00,,0.79,-,-,-,-,,-
(191),2.19,0.05,0.31,1.57,1.08,(1.46),(0.27),(0.69),0.80
(1-91),2.19,0.05,0.31,1.57,1.08,(1.46),(0.27),(0.69),0.80
