0,1,2,3,4,5,6
Series Id,Issue Size(Rs in Crs),Allotment Date,Maturity Date,Due Date,ISIN No,Due Cateqory
2B,1.30,06-Jun-16,06-Jun-23,06-Jun-18,INE774D08LS0,Quarterly Interest
3A,0.90,06-Jun-16,06-Jun-26,06-Jun-18,INE774D08LT8,Quarterly Interest
3B,24.73,06-Jun-16,06-Jun-26,06-Jun-18,INE774D08LU6,Quarterly Interest
4A,28.55,06-Jun-16,06-Dec-21,06-Jun-18,INE774D08LV4,Annual Interest
4B,13.39,06-Jun-16,06-Dec-21,06-Jun-18,INE774D08LW2,Annual Interest
5A,0.80,06-Jun-16,06-Jun-23,06-Jun-18,INE774D08LX0,Annual Interest
SB,3.64,06-Jun-16,06-Jun-23,06-Jun-18,INE774D08LY8,Annual Interest
6A,27.83,06-Jun-16,06-Jun-26,06-Jun-18,INE774D08LZ5,Annual Interest
6B,852.33,06-Jun-16,06-Jun-26,06-Jun-18,INE774D08MA6,Annual Interest
A22017,125,7-Jun-17,7-Jun-19,7-Jun-18,INE774D07RH2,Interest
BJ2015,22.1,11-Jun-15,12-Jun-18,12-Jun-18,INE774D07ME0,Principal + Interest
BL201S,20,16-Jun-15,12-Jun-18,12-Jun-18,INE774D07MG5,Principal + Interest
BA2017,250,12-Jun-17,12-Jun-20,12-Jun-18,INE774D07RI0,Interest
AI2017,50,30-Jan-17,29-Jun-18,29-Jun-18,INE774D07QQ5,Principal + Interest
BQ2015,97,29-Jun-15,29-Jun-22,29-Jun-18,INE774D07ML5,Interest
BR2015,15,29-Jun-15,27-Jun-25,29-Jun-18,INE774D07MM3,Interest
BC2016,75,8-Jul-16,6-Jul-18,6-Jul-18,INE774D07PA1,Principal + Interest
CE2015,21,16-Jul-15,12-Jul-1B,12-JUI-18,INE774D07MZ5,Principal + Interest
CG2015,30,21-Jul-IS,19-Jul-18,19-Jul-18,INE774D07NB4,Principal + Interest
CD2015,66,16-Jul-IS,26-Jul-18,26-Jul-18,INE774D07MY8,Principal + Interest
CN2015,8,10-Aug-15,26-JUI-18,26-Jul-18,INE774D07NI9,Principal + Interest
BE2016,70,28-Jul-16,26-Jun-20,30-Jul-18,INE774D07PC7,Interest
BE2017,100,31-JUI-17,31-Jul-20,31-Jul-18,INE774D07RM2,Interest
BF2017,200,1-Aug-17,1-Aug-19,1-Aua-18,INE774D07RN0,Interest
BH2016,200,2-Aug-16,2-Aug-18,2-Aug-18,INE774D07PF0,Principal + Interest
CM 2015,125,6-Aug-15,6-Aug-20,6-Aug-18,INE774D07NH1,Interest
BJ2016,150,12-Aug-16,12-Aug-19,13-Aug-18,INE774D07PH6,Interest
CCC201S,25,14-Aug-15,14-Aug-25,14-Aug-18,INE774D08LM3,Interest
CJ2015,60,30-Jul-15,16-Aug-18,16-Aug-18,INE774D07NE8,Principal + Interest
BK2016,200,16-Aug-16,16-Aug-18,16-Aug-18,INE774D07PI4,Principal + Interest
BL2016,100,18-Aug-16,16-Aug-18,16-Aug-18,INE774D07PJ2,Principal + Interest
CP2015,48,26-Aug-15,20-Aug-18,20-AUO-18,INE774D07NK5,Principal + Interest
CF2015,20,21-Jul-15,21-Aug-18,21-Aug-18,INE774D07NA6,Principal + Interest
DDD2015,25,21-Aug-15,21-Aug-25,21-Aug-18,INE774D08LN1,Interest
BM2016,125,23-Aug-16,23-Aug-19,23-Aug-18,INE774D07PK0,Interest
BN2016,100,24-Aug-16,23-Aug-19,24-Aug-18,INE774D07PL8,Interest
AAA2014,10,28-Aug-14,28-Aug-24,28-Aug-18,INE774D08LH3,Interest
BO2016,100,31-Aug-16,31-Aug-18,31-Aug-18,INE774D07PM6,Principal + Interest
BBB2014,5,3-Sep-14,3-Sep-24,4-Sep-18,INE774D08LI1,Interest
