0,1,2,3
Growth y-y,ConsolidatedBusiness,IndiaBusiness,InternationalBusiness
Net Sales,1%,flat,1%
Net Sales - Constant Currency,3%,flat,6%
Net Sales - Comparable*,4%,7%,1%
Net Sales - Constant Currency - Comparable*,6%,7%,6%
EBITDA,11%,22%,(4%)
EBITDA - Constant Currency,14%,22%,2%
Net Profit,59%,18%,143%
Net Profit without exceptional and one-off items,12%,18%,3%
