0,1,2,3,4,5
Particulars,Quarter ended,Year ended,,,
31-03-2018(Audited),31-12-2017(Unaudited),31-03-2017(Audited),31-03-2018(Audited),31-03-2017(Audited),
MTM changes on investment in equities,(47575),"4ยง83""",130656',165318',"230350"""
Actuarial gains / losses,11,-,(13),11,(50)
Total,(47564),4983,130643,165329,230340
