0,1,2
Amount recognised in statement of Profit & Loss,31-Mat-lS,31-Mar-17
Current service cost,-,-
Net Interest cost(Interest Cost-Expected return),24,. 19
Total expense recognized in the statement of profit & Loss,24,19
