0,1,2
Adani Global Ltd,,Galilee Transmission Holding Pty Ltd
Adani Global Pte Ltd,,Galilee Transmission Pty Ltd
Adani Global Fze,,Galilee Transmission Holdings Trust
PT Adani Global - Consolidated,,Adani Infrastructure Pty Ltd
PT Adani Global Coal Trading,,Adani Bunkering Pvt Ltd
Adani Agri Fresh Ltd,,Adani Global DMCC
Adani Agri Logistics Ltd,,Adani Synenergy Ltd
Adani Agri Logistics (MP) Ltd,,Adani Green Energy Ltd
Adani Agri Logistics (Harda) Ltd,,Adani Green Energy (MP) Ltd
Adani Agri Logistics (Hoshangabad) Ltd,,Zernira Renewable Energy Ltd(ceased w.e.f20-12-17)
Adani Agri Logistics (Satna) Ltd,,Adani Green Energy (Tamilnadu) Ltd
Adani Agri Logistics (Ujjain) Ltd,,Adani Green Energy (UP) Ltd
Adani Agri Logistics (Dewas) Ltd,,Kamuthi Solar Power Ltd
Adani Agri Logistics (Katihar) Ltd,,Ramnad Solar Power Ltd
Adani Agri Logistics (Kotakapura) Ltd,,Kamuthi Renewable Energy Ltd
Adani Gas Ltd,,Ramnad Renewable Energy Ltd
Adani Energy Ltd (ceased w.e.f29-03-18),,Mundra Solar Ltd
Adani Gas Holdings Ltd,,Mundra Solar PV Ltd
