0,1,2,3,4,5,6,7
Revenue from operations,Standalone,Consolidated,,,,,
Quarter Ended,Year Ended,1i1,Year ended,,,,
31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,31.03.2018,31.03.2017,
Audited(refer note 7),(Unaudited),(refer note 7),(Audited),(Audited),(Audited),(Audited),
Revenue from operations___,315.803,307.192,278.020,1.187.224,1.124.256,1.187.224,1.124.256
Excise duty,-,-,(20.558),(18.209),(80.744),"(18,209)",(80.744)
Revenue from operations (Net of excise duty),315.803,307.192,257.462,"1,169.015",1.043.512,1.169.015,1.043.512
