0,1,2
Unrealized gain on financial instruments classified undercurrent assets,"$70,510","$27,237"
Unrealized gain on financial instruments classified undernon current assets,"20,229","3,590"
Unrealized loss on financial instruments classified undernon-current liabilities,-,(107)
,"$90,739","$30,720"
