0,1,2
SI. No.,Name of Hie entity,"Relationship as atMarch 31,2018"
95,GMR Energy Projects (Mauritius) Limited (GEPML),Subsidiaiy
96,GMR Infrastructure (Singapore) Pte Limited (GISPL),Subsidiary
97,GMR Coal Resources Ptc Limited (GCRPL),Subsidiary
98,GADL International Limited (GADLIL),Subsidiary
99,GADL (Mauritius) Limited (GADLML),Subsidiary
100,GMR Infra Airport (Mauritius) Limited (G1AML),Subsidiary
101,GMR Male International Airport Private Limited (GMIAL),Subsidiary
102,GMR Airports (Mauritius) Limited (GAML),Subsidiary
103,GMR Infrastructure (Mauritius) Limited (GIML),Subsidiary
104,GMR Infrastructure (Cyprus) Limited (G1CL),Subsidiary
105,GMR Infrastructure Overseas Limited (formerly known as GMR InfrastructureOverseas (Malta) Limited) (GIOSL),Subsidiary
106,GMR Infrastructure (UK) Limited (GIUL),Subsidiary'
107,GMR Infrastructure (Global) Limited (GIGL),Subsidiary
108,GMR Energy (Global) Limited (GEGL),Subsidiary
109,Indo Tausch Trading DMCC (IndoTauseh),Subsidiaiy
110,GMR Infrastructure (Overseas) Limited (GIOL),Subsidiary
111,GMR Energy (Mauritius) Limited (GEML),Joint Venture
112,GMR Lion Energy Limited (GLEL),Joint Venture
113,l limtal Hydro Power Company Private Limited (HMPPL),Joint Venture
114,GMR Upper Kamali Hydropower Limited (GUKPL),Joint Venture
115,Karnoli Transmission Company Private Limited (KTCPL),Joint Venture
116,Marsyangdi Transmission Company Private Limited (MTCPL),Joint Venture
1 17,GMR Kamalanga Energy Limited (GKEL),Joint Venture
118,Rampia Coal Mine and Energy Private Limited (RCMEPL),Joint Venture
119,Delhi Duly Free Services Private Limited (DDFS),Joint Venture
120,Asia Pacific Flight Training Academy Limited (APFT),Subsidiary
121,Laqshya Hyderabad Airport Media Private Limited (Laqshya),Joint Venture
122,Delhi Aviation Services Private Limited (DASPL),Joint Venture
123,Travel Food Services (Delhi Terminal 3) Private Limited (TFS),Joint Venture
124,Delhi Aviation Fuel Facility Private Limited (DAFF),Joint Venture
125,Cclebi Delhi Cargo Terminal Management India Private Limited (CDCTM),Joint Venture
126,Wipro Airport IT Services Limited (WA1SL),Joint Venture
127,TIM Delhi Airport Advertising Private Limited (TIM),Joint Venture
128,GMR Mining & Energy Private Limited (GMEL),Joint Venture
129,GMR Mcgawidc Cebu Airport Corporation (GMCAC),Joint Venture
130,Limak GMR Construction JV (C.IV),Joint Venture
131,Mcgawidc GISPL Conslaiction Joint Venture (MGCJV),Joint Venture
132,Mcgawidc GMR Construction Joint Venture Inc.,Joint Venture
133,PT Golden Energy Mines Tbk (PI GEMS.),Joint Venture
134,PT Roundhill Capital Indonesia (RCI),Joint Venture
- 135,PT Borneo Indobara (BIB),Joint Venture
136,PT Kuuusiug Inti Makmin (KIM),Joint Venture
137,PT Karya Ccmerlang Pcrsada (KCP),Joint Venture
138,PT Bungo Bara Utama (BBU),Joint Venture
139,PT Bara Harmonis BatangAsam (BI IBA),Joint Venture
140,PT Berkat Nusantara Perinai (BNP),Joint Venture
141,PT Tanjung Belit Bara Ultima ( I'BBU),Joint Venture
142,PT Trisula Kcncana Sakti ( I KS),Joint Venture
143,PT Era Militt Selaras (EMS),Joint Venture
144,PT Wahana Rimba (WRL),Joint Venture
145,PT Berkat Satria Abttdi (BSA),Joint Venture
146,GEMS Trading Resources Pie Limited (GEMSCR) (Formerly known as GEMSCoal Resources Ptc Limited),Joint VentsfripT
