0,1,2,3,4,5,6
,Quarter Ended,Year Ended,,,,
Particulars,Mar-18,Mar-17,Y-on-YGrowth,Mar-18,Mar-17,Y-on-YGrowth
Total revenues,"103,532","129,718",-20%,"462,639","565,511",-18%
EBITDA,"29,428","47,873",-39%,"150,888","227,734",-34%
EBITDA/ To tal revenues,28.4%,36.9%,,32.6%,40.3%,
EBIT,"(4,820)","14,392",-133%,"20,829","105,484",-80%
Capex,"33,554","20,543",63%,"194,694","133,624",46%
Operating Free Cash Flow (EBITDA - Capex),"(4,126)","27,330",-115%,"(43,806)","94,109",-147%
Cumulative Investments,"2,051,570","1,864,560",10%,"2,051,570","1,864,560",10%
