0,1,2,3
,FY 18,FY 17,GrowthYoY
Total Income,"5,425.77","4,660.35",16.4%
PAT,974.12,718.74,35.5%
EPS- In Rs,62.3,46.0,35.4%
ROTA - PBT*,4.6%,3.9%,
ROE-In %,20.8%,18.1%,
