0,1,2,3
,,QuarterJanuary-March2018,QuarterJanuary- March2017
Sales Volume - Cement,Million tonnes,13.33,12.62
Net Sales,? in Crore,6314,5637
Operating EBITDA,? in Crore,1002,809
Net Profit after Tax,? in Crore,514,397
Net Profit after Tax andminority interest,? in Crore,390,292
