0,1,2,3
,Q4,Q4,Growth(YoY)
FY 18,FY 17,,
Total Income,"1,511.60","1,213.43",24.6%
PAT,291.09,219.55,32.6%
EPS- In Rs,18.6,14.1,32.5%
ROTA - PBT*,5.0%,4.7%,
ROE-1n %,23.6%,21.2%,
