0,1,2,3,4,5,6,7,8
Sr.No.,NCD Series,ISIN No.,"Previous due date(October 1,2017 to March31,2018)","Interest(April 1, 2018 toSeptember 30, 2018)","Principal(April I, 2018 toSeptember 30, 2018)",,,
Interest,Principal,Next duedate,Amount(Rs. incrorc),Next duedate,Amount(Rs. incrore),,,
71,N-018,INE001A07NX2,-,-,-,-,08-Jun-l8,150.00
72,N-019,INEOO 1A07NY0,-,-,12-Jun-18,81.42,I2-Jun-18,950.00
73,0-001,INE001A07NZ7,-,-,31-Aug-18,170.00,-,-
74,0-002,INEOOI A07OA8,-,-,18-Sep-18,95.15,-,-
75,0-003,INE001A07OB6,-,-,28-Sep-18,59.77,28-Sep-18,695.00
76,0-004,INE001A07OD2,23-Oct-17,-,-,-,-,-
77,0-007,INE001A07OG5,30-Nov-17,-,-,-,-,-
78,0-008,INE001A070H3,08-Dec-17,-,-,-,-,-
79,0-009,INE001A07OI1,08-Jan-18,-,-,-,-,-
80,0-010,INEOOI A07OJ9,12-Jan-18,12-Jan-18,-,-,-,-
81,0-011,INE001A07OK7,27-Jan-l 8,-,-,-,-,-
82,0-013,INEOO 1A07OM3,03-Feb-18,-,-,-,-,-
83,P-001,INE00IA07ON1,22-Feb-18,-,-,-,-,-
84,P-002,INEOO 1A07OO9,04-Mar-18,-,-,-,-,-
85,P-004,INEOO 1A07OQ4,11-Mar-18,-,-,-,-,-
86,P-005,INEOO 1A07OR2,-,-,13-Aug-lS,82.37,-,-
87,P-006,INEOO 1A07OS0,-,-,26-Apr-18,41.75,-,-
88,P-007,INEOO 1A07OT8,-,-,04-May-18,41.60,-,-
89,P-008,INEOO 1A07OU6,-,-,06-May-18,53.10,-,-
90,P-009,INEOO 1A07OV4,09-Mar-18,09-Mar-18,-,-,-,-
91,P-011,INEOOIA07OX0,-,-,13-May-18,86.19,-,-
92,P-012,INEOO 1A07OY8,-,-,18-May-18,126.75,-,-
93,P-013,INEOO 1A07OZ5,-,-,24-May-18,61.69,-,-
94,P-015,INEOO 1A07PB3,-,-,Ol-Jun-18,59.92,-,-
95,P-016,INEOO 1A07PC1,-,-,15-Jun-18,84.60,-,-
96,P-017,INEOO 1A07PD9,-,-,17-Jun-18,40.30,-,-
97,P-018,INEOO 1A07PE7,-,-,20-Jun-I8,42.45,-,-
98,P-019,INEOO 1A07PF4,-,-,25-Jun-18,45.01,-,-
99,P-020,INEOO 1A07PG2,-,-,28-Jun-18,11.48,-,-
100,P-021,INEOO 1A07PH0,-,-,16-Jul-18,77.73,-,-
101,P-022,INEOO 1A07PI8,-,-,27-Jul-18,66.42,27-Jul-18,815.00
102,P-023,INEOOI A07PJ6,-,-,30-Jul-18,41.11,-,-
103,P-024,INEOO 1A07PK4,15-Jan-18,15-Jan-18,-,-,-,-
104,Q-001,INEOO 1A07PL2,-,-,21-Aug-18,39.89,21-Aug-18,500.00
105,Q-002,INEOO 1A07PM0,-,-,23-Aug-18,79.50,-,-
106,Q-003,INEOOI A07PN 8,-,-,24-Aug-18,79.00,-,-
107,Q-004,INEOO 1A07PO6,26-Feb-18,26-Feb-18,-,-,-,-
108,Q-005,INEOO 1A07PP3,09-Feb-18,09-Feb-18,-,-,-,-
>109,Q-006,INEOO 1A07PQ1,23-Nov-17,23-Nov-17,-,-,-,-
,Q-007,INEOO 1A07PR9,04-Oct-17,-,-,-,-,-
,Q-008,INEOO 1A07PS7,13-Oct-17,-,-,-,-,-
