0,1,2,3,4,5,6,7
,Standalone,Consolidated,,,,,
,Three Months ended,Year ended,Year ended,,,,
,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,31.03.2018,31.03.2017
EPS beforebonus (?),11.01,16.63,7.85,45.04,40.31,46.82,41.88
