0,1,2,3
Standalone,Consolidated,,
As at,As at,As at,As at
31.03.2018,31.03.2017,31.03.2018,31.03.2017
(Audited),(Audited),(Audited),(Audited)
40.990.65,"47,366.17",51.365 14,59.018 13
1.208 09,7.587.80,1.208.09,7.587.84
9.079 32,.,S 079 32,-
22.937 29,22.937 29,"33,772 87",33.772.87
981.25,"1,194.56",53.423.38,57.399.71
25.816.35,25.820 94,-,
-,*,583 03,579 17
"31,435.09",49.893 59,47.071.91,"49,964.45"
,.,0.14,1.73
1.662.40,1.508 51,"2,960 66","2,931 73"
,.,1.971.04,2.S93.99
"1,731 82",.,1.899.99,263.97
"1,084 63",1.037.55,1.795.98,2 208.98
"136,92690",157.346 44,"205,131.57","215,422.57"
6 166 69,8.31001,6 639.10,9.351.42
2 878 45,.,4.628.8?,2.925.02
47 096.35,"41,372.89",60 676.99,51.576.21
3 734.37,7.678 08,5 379 57,16.671.31
9803,73 89,6 390.67,"18,237 93"
3235 98,"1,479 92",3 252.32,1.490.02
1 01045,1.575.22,1 394.64,2.C51.60
.,1 291 17,-,1.291.17
3.190 95,2 168 94,5201 55,"4,256 04"
.,-,485.41,584.19
"67,411.26","63,950 12","94,049.12","108,434.91"
"204,338 16","221,296.56","299,180 69","323,857 48"
"6,228 24",6.538 24,6.228.24,"6,538 24"
145.903 20,160.484.62,"197,739 75",208.954 80
152.131.44,"167,022.86","203,967.99",215.493 04
.,-,24.741.67,23.627.71
"152,131.44","167,022.86","228,709.66","239,120.75"
,,5.003.12,5.019 90
1.453.56,989 70,2.039 71,1.703 50
13.954 93,12.937 07,19.989.24,19.706 54
"15,408.49",13.926.77,"27,032.07","26,429.94"
9.125 87,8.141.98,9.759.24,8.324.89
10.738.96,"10,337 67",13.350 16,14 672 14
10.185.23,17.310.00,11.724.18,28 755 11
360 67,28863,473.68,499.16
"1,712.13",,1.727 49,-
4.655.37,4.268.65,"6,404.21","6,055.47"
36.798.23,"40,346.93",43.438.96,"58,306.79"
"52,206.72","54,273-70","70,471.03",84.736.73
"204,338.16","221,296.56]","299,180.69","323,857.48"
