0,1,2,3,4,5,6,7,8,9,10
,Standalone,Consolidated,,,,,,,,
,Quarter ended,Year ended,Quarter ended,Year ended,,,,,,
Particulars,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017
,Audited (Note4>,Unaudited,Audited (Note4),Audited,Audited,Audited (Note4),Unaudited,Audited (Note,Audited,Audited
Paid up equity share capital (Face value of Re 1 each)Other equity,"1,818","1,818","1,817","1,81866,528","1,81763,548","1,818","1,818","1,817","1,8181,12,604","1,8171,07,084"
Earnings Per Share of face value Re 1 eachBasic earnings per share (Rs)Diluted earnings per share (Rs),3 323 29NotAnnualised,2.052 03NotAnnualised,6 056.05NotAnnualised,8 838 74,111211 12,4 184 14NotAnnualised,1 811 79NotAnnualised,5.915 91NotAnnualised,9 845.66,11 2411 24
