0,1,2
Particulars,Ocean segment,
"For the year endedMar 31, 2018","For the year endedMar 31, 2017",
Total Income from Operations,10.56,(0.24]
Total Expenses,21.91,85.30
Loss on sale of vessels,29.12,34.28
Profit before income tax,(40.47],(119.82]
Income tax expense/ (income),(31.96],(41.46)
Profit after tax,(851],(78.36)
Assets held for sale,1.76,-
Liabilities held for sale,-,-
