0,1,2,3,4,5,6
Consolidated,,,,,,
Quarter ended,Year ended,,,,,
31-Mar-18Audited(Refer note 2),31-Dec-17Unaudited,31-Mar-17Audited(Refer note 2),31-Mar-18Audited,31-Mar-17Audited,,
"1,67,386","1,57,415","1,47,182","6,23,077","5,76,651",,
-,-,16.947,16.891,"67,479",,
"1,67,386","1,57,415","1,64,129","6,39,968","6,44,130",,
694,663,360,"2,946","1,863",,
"1.68,080","1.58,078",1.64.489,"6,42,914","6,45,993",,
"93,950","95,400","89,447","3,65,214","3,30,888",,
-,,"16,947","16,891","67,479",,
"2,467","1,942","3,706","7,112","16,638",,
"4,581","(5,731)",(631),"8,674","(7,549)",,
"11,507","11,195","10,459","43,827","40,631",,
"2,379","2,731","2,122","9,735","8,172",,
"4,480","4,333","4,602","16,861","14,308",,
"35,122","35,913","30,951","1,36.773","1.30,365",,
"1.54,486",1.45.783,1.57.603,"6.05,087","6,00.932",,
"13,594","12,295","6,886","37,827","45,061",,
524,764,499,"2,301","2,837",,
"14,118","13,059","7,385","40,128","47,898",,
"2,464",100,"1,246","3,396","1,333",,
"11,654","12,959","6,139","36,732","46,565",,
"3,474","4,026","1,750","10,639","11,660",,
499,723,"(2,198)","2,764","(1,018)",,
"7,681","8,210","6,587","23,329","35,923",,
"7,708","8,264","6,633","23,798","36,115",,
(27),(54),(46),(469),(192),,
419,501,504,"1,042",(416),,
(148),(173),(156),(368),165,,
918,(333),245,234,9,,
(352),28,16,(380),131,,
837,23,609,528,(111),,
843,23,609,534,(111),,
(6),*,-,(6),,,
"8,518","8,233","7,196","23,857","35,812",,
"8,551","8,287","7,242","24,332","36,004",,
(33),(54),(46),(4751,(192),,
"4,045","4,045","4,045","4,045","4,045",,
,,,"2,56,564","2,37,450",,
,SIGN&,FOR 1QBI,tificatÂ®,,58.83,89.28
,BY1906,20 43,16.40,,58.83,89.28
