0,1,2,3
SI.No.,Location,Area,Remarks
9.,"Industrial Packaging DivisionLease Hold LandPlot No.G-15,G-16,G-17 MIDC, Taloja,Industrial Area,Maharashtra-410208",,"G15,G16,lease deedwith MIDC pending forRegistration.G17registered lease deed."
10.,"Free Hold LandSurvey No 201/1 ,Sayli Village,Sitvassa 396230",,Copy of Agreement.
11.,"Free Hold LandSurvey No 23/1/1 .Khadoli Village,Sllvassa 396230",,Copy of Agreement.
12..,"BL Housing ComplexLease Hold LandPlot no 1-1&1-2,Sector 2, Phase II, Nerul,Navi Mumbai 400706",2413 Sq. Mts.,With C1DCO
