0,1
c),Associates (direct and indirect)
Sr. No,Entity Name
1,FCL Marine Aqencies Gmbh (Hamburq)
2,FCL Marine Aqencies Gmbh (Bermen)
3,Allcargo Looistics Lanka (Private) Limited (w.e.f 02 March 2015)
d),Joint ventures (direct and indirect)
Sr. No,Entity Name
1,Transnepal Freight Services Private Limited
2,FasderS.A.
3,Avvashva CCI Loqistics Private Limited (Formerly known as CCI Integrated Logistics Private Limited)
4,Allcargo Loaistics Park Private Limited
5,Ecu Worldwide Peru S.A.C.(formerly known as Ecu Logistics Peru SAC)
