0,1,2,3
82,Montana International,90,Zap Trust Company Nigeria Limited #
83,MSI-Celtel Nigeria Limited #,91,Bharti Airtel Rwanda Holdings Limited
84,Partnership Investments S.A.R.L.,92,Airtel Money Transfer Ltd
85,Societe Malgache de TelephonieCellulaire SA,93,Airtel Money Tanzania Limited
94,Towers Support Nigeria Limited #,,
86,Tanzania Towers Limited,95,Airtel Mobile Commerce Nigeria Limited $
87,Gabon Towers S.A. *,96,Bharti Digital Networks Private Limited $(formerly known as Tikona DigitalNetworks Private Limited)
88,Malawi Towers Limited,97,Tigo Rwanda Limited $
89,Mobile Commerce Congo S.A.,98,Bharti Airtel International (Mauritius)Investments Limited $
,,,
,,,
,Joint Ventures and Associates(including their subsidiaries),,
99,Bridge Mobile Pte Limited,105,Seychelles Cable Systems CompanyLimited
100,Indus Towers Limited,106,Robi Axiata Limited
101,FireFly Networks Limited,107,Seynse Technologies Private Limited
102,Bharti Airtel Ghana Holdings B.V./',108,Mobile Financial Services Limited $
103,Airtel Mobile Commerce GhanaLimited'',109,Millicom Ghana Company Limited $
104,Airtel Ghana Limited'',110,Juggernaut Books Private Limited $
