0,1
Particulars,Name of the Subsidiary
,
Direct Subsidiaries,1) Oracle Financial Services Software B.V.
2) Oracle Financial Services Software Pte. Ltd.,
3) Oracle Financial Services Software Chile Limitada,
4) Oracle Financial Services Software (Shanghai) Limited,
"5) Oracle Financial Services Software America, Inc.",
6) ISP Internet Mauritius Company,
7) Oracle (OFSS) Processing Services Limited,
8) Oracle (OFSS) ASP Private Limited,
Subsidiaries of Subsidiaries,Subsidiary of Oracle Financial Services Software B.V.:
9) - Oracle Financial Services Software SA,
Subsidiary of Oracle Financial Services Software Pte Ltd:,
10) - Oracle Financial Services Consulting Pte. Ltd.,
"Subsidiaries of Oracle Financial Services Software America, Inc.:",
"11) - Oracle Financial Services Software, Inc.",
12) -Mantas Inc.,
Subsidiaries of Mantas Inc.:,
13) -Sotaslnc.,
Subsidiary of Sotas Inc.:,
14) - Mantas India Private Limited,
Subsidiaries of ISP Internet Mauritius Company:,
15) - Oracle (OFSS) BPO Services Inc.,
16) - Oracle (OFSS) BPO Services Limited,
Controlled Trust,17) i-flex ESOP Stock Trust
