0,1,2
Bank Deposits,"2,808.74","3,516.91"
Others,103.71,251.02
,"2,912.45","3,767.93"
Dividend income,3.19,-
Other Non-operating income,,
Profit on Disposal of Fixed assets,14.04,5.13
Unclaimed balances and excess provision written back,"1,389.06","896,59"
Gain on Foreign Currency Transactions (net),265.80,"447,26"
Miscellaneous Income,479.22,"446,89"
Other Non-operating Income,"2,148,12","1,795.87"
Total,"5,063.76","5,563.80"
