0,1,2,3,4
Name Of The Statute,Nature Of DisputedTax,...........1111 1Amount(Rs.Lakhs),Period To WhichThe AmountRelates,Forum WhereThe Dispute IsPending
Central Excise Act1944,Excise Duty incl.Interest andPenalty,"27,965.40",2003-04 to 2007-08,CESTAT.Bangalore
Excise Duty incl.Interest andPenalty,"1,232.57",2005-06to 2010-11,AppellateAuthority,
National CalamityContingency Duty,"13,804.08",2006-07 to 2011-12,CESTAT,
Total Excise Duty,"43,002.05",,,
"SERVICE TAXACT, 1994",Service Tax mci.penalty,892.91,"2004-05, 2006-07 &2010-11",CESTATBangalore
Service Tax,494.07,2006-07 to 2010-11,AppellateAuthority,
