0,1
As at,As at
ji.oj.ioia,31.03.2017
,<*«*«*)
"1,454 76",832 43
141 89,265 01
3 86,421
38 66,33 41
191 32,108 76
49 43,300 42
"3,183 16","2,357 70"
24 88,16 44
18 44,1842
163 85,243 10
"5,270.25","4,179.90"
379 23,32245
633 40,88361
78 02,48 94
89 28,12.79
"1,11954",7 82
0 28,0 34
33 71,8 70
190 96,75 71
"2,524.42",1460.36
,
"7,794.67","5,540.26"
27 26,27 21
5.344 97,3.895 38
5472.23,"3,922.59"
8 88,7 16
29 12,26 13
142 97,79 22
46 84,23 20
227.81,135.71
85 98,67 44
1.17047,764 49
166 70,140 25
47 21,42 51
108 01,37 74
616 26,429 53
2.194.63,"1,481.96"
,
"7,794.67","5,540.26"
