0,1,2,3,4,5,6
Parameters,Unit,"Mar 31,","Dec 31,",Q-on-Q,"Mar 31,",Y-on-Y
2018,2017,Growth,2017,Growth,,
Total Towers,Nos,"123,639","122,962",677,"122,730",909
Total Co-locations,Nos,"278,408","288,727","(10,319)","288,913","(10,505)"
Average Sharing Factor,Times,2.30,2.39,,2.34,
