0,1,2,3,4,5
Earnings per Share (of? 2 each)*-    Basic-    Diluted,23.3722.82,41.7241.19,18.6818.54,100.3598.88,68.8768.30
Paid-up Equity Share,335.18,319.52,317.73,335.18,315.97
Reserves excludingMarch 31 || * | _ ]),,,,"86,155.84","59,690.48"
