0,1,2,3,4,5
Earnings per Share (of ?2each)*-    Basic-    Diluted,16.5316.13,35.3634.92,12.1512.06,"74.8373,73",46.0845.70
Paid-up Equity Share Capital (Face value ? 2),335.18,319.52,317.73,335.18,317.73
Reserves excluding Revaluation Reserves as atMarch 31,,,,"61,016.98","39,276.55"
