0,1,2,3,4
Particulars,"As at^December 31, 2017 |","As atDecember 31, 2016","As adJanuary 1, 2016",
AmericasEuropeIndiaRest of the world,"1,919.39184.436,956.5998.52","1,957.69182.706,858.18134.11","1,755.28162.555,191.20133.46",
Total,"9,158.93","9,132.68","7,242.49",
