0,1,2
f'in crore),,
"For the Year Ended March 31,",2018,2017
Dividend on investment in Mutual,9.57,9.50
fund units,,
Interest income on financial assets-,18.52,21.80
carried at amortised cost,,
Net Gain / (Loss) on foreign currency,0.03,(0.22)
Profit on sale of assets/ investments,0.35,0.64
Others,0.25,0.42
Total,28.72,32.14
