0,1,2,3
,ComputerSoftware,"Copyrights, patents and other intellectual property rights, services and operating rights",Total
"Opening gross carrying amount as onJanuary 1, 2017",62.38,59.26,121.64
Additions,3.23,-,3.23
"Gross carrying amount as on December 31, 2017",65.61,59.26,124.87
Accumulated Amortisation,,,
"Balance as at January 1, 2017",45.35,53.07,98.42
Amortisation charge for the year,6.79,1.17,7.96
"Closing accumulated depreciation as atDecember 31, 2017",52.14,54.24,106.38
"Net carrying value as on December 31, 2017",13.47,5.02,18.49
