0,1,2,3,4,5,6,7
Particulars of Derivatives,ForeignCurrency,"December 31, 2017","December 31, 2016","January 01, 2016",,,
ForeignCurrencyValue,Rupees inMillion,ForeignCurrencyValue,Rupees inMillion,ForeignCurrencyValue,Rupees inMillion,,
Forward Exchange contracts for the foreign exchange exposures of receivables on account of export of goods & services.,EUR,,,"5,000,000",357,"4,000,000",288
