0,1,2,3,4,5
Particulars,"As atlDecember 31, 2017",1,"As atlDecember 31, 2016",,"As atJanuary 1, 2016"
Considered goodConsidered doubtfulLess: Allowance for doubtful receivables,"5,360.31102.71(102.71)",,"4,376.0474.81(74.81)",,"4,405.78103.29(103.29)"
