0,1
Particular,Depreciation
Fixed Bed Catalyst (useful life: 2 years or more),Over its useful life as technically assessed
Fixed Bed Catalyst (useful life: up to 2 years),100% depreciated in the year of addition
Premium on Leasehold Land,Over the period of lease term
