0,1,2
Particulars,As at 31 March 2016,As at 31 March 2015
(Rs. in laks),(Rs .in laks),
"Unsecured Loans and Advances from related parties (of the above, Rs. Nil is guaranteed by DirectorsÂ / others)",508.09,191.09
Total,508.09,191.09
