0,1,2,3,4,5,6,7,8,9,10
PARTICULARS,COST AS AT01.04.2016,ADDITIONS,SALE,COST AS AT31.03.2017,DEPRECIATION,WDVAS ON31.03.2017,WDVAS ON31.03.2016,,,
01.04.20161,FOR THE YEAR | WITHDRAWN |,31.03.2017,,,,,,,,
LAND,77843543.00,518645.00,0.00,78362188.00,0.00,0.00,0.00,0.00,78362188.00,77843543.00
BUILDING,68524161.00,0.00,0.00,68524161.00,18441130.00,2117215.00,0.00,20558345.00,47965816.00,50083031.00
PLANT & MACHINERY,343940847.00,6487090.00,0.00,350427937.00,213825963.92,13458226.84,0.00,227284190.76,123143746.24,130114883.08
OFFICE EQUIPMENTS,350690.00,45445.00,0.00,396135.00,223970.81,20962.96,0.00,244933.77,151201.23,126719.19
FURNITURE & FITTINGS,519377.00,1138789.00,0.00,1658166.00,358076.93,337218.46,0.00,695295.39,962870.61,161300.07
ELECTRICAL EQUIPMENT,25436700.00,1212649.00,0.00,26649349.00,21516873.39,1947683.17,0.00,23464556.55,3184792.45,3919826.61
VEHICLES,4964235.00,5305900.00,0.00,10270135.00,2738800.61,1464704.35,0.00,4203504.97,6066630.03,2225434.39
COMPUTERS,216369.00,31100.00,0.00,247469.00,196301.94,7326.21,0.00,203628.15,43840.85,20067.06
,521795922.00,14739618.00,0.00,536535540.00,257301117.60 |,19353337.00 |,ϙtTI,276654454.60,259881085.40,264494804.40
CAPITAL WORK IN PROGRESSPLANT & MACHINERY,0.00,2952988.00,0.00,2952988.00,0.00,0.00,0.00,0.00,2952988.00,0.00
