0,1,2
,"Year Ended31st March, 2018","Year Ended31st March, 2017"
Interest expense on Debentures and Term Loans,6828.47,8271.96
(Net of subsidy'814.92 lakhs (Previous year'978.11 lakhs under TUF Scheme),,
Interest expense - others,7850.29,6052.48
Applicable net loss on foreign currency transactions and translation,38.41,103.22
Other borrowing costs,27.76,8.67
Total,14744.93,14436.33
