0,1,2,3
Particulars,Foreign CurrencyDenomination,Foreign CurrencyAmount,Amount(')
Trade Receivables,EURO,"1,55,883","1,19,07,933"
,,"(83,324)","(59,67,637)"
,USD,"2,27,579","1,45,49,150"
,,"(4,858)","(3,30,101)"
Short-term Loans and Advances,EURO,124,"9,472"
,,"(7,310)","(5,23,577)"
,USD,-,-
,,"(11,544)","(7,84,415)"
Trade Payables,EURO,"4,91,353","3,75,34,433"
,,"(6,07,072)","(4,34,78,480)"
,USD,"42,996","27,48,734"
,,"(1,02,354)","(69,54,967)"
Other Current Liabilities,EURO,952,"72,723"
,,"(70,000)","(50,13,400)"
,USD,"1,155","73,844"
,,"(8,687)","(5,90,275)"
