0,1,2,3,4
Non-Current CurrentFace valueNos-            (?)         As at       As at         As at       As at31.03.2018 31.03.2017   31.03.2018 31.03.2017,,,,
II. Current Investments,,,,
A. Investments in Quoted Mutual Funds measured at FVTPL,,,,
i. Current Portion of Long Term Investments (Refer Note 4(I)(D)),-,-,346.87,193.58
ii. Investments in Liquid Mutual Funds,-,-,603.02,"1,156.38"
¡¡i. Investments with original maturity more than three months but less than twelve months,-,-,106.78,-
Total Investments in Mutual Funds - Quoted (i+ii+iii)A,-,-,"1,056.67","1,349.96"
B. InvestmentsinUnquotedGovernmentsecuritiesBmeasured at amortised cost,-,-,-,1.38
Total Current Investments (A+B),-,-,"1,056.67","1,351.34"
Aggregate amountofquoted investments - At cost,-,-,971.79,"1,037.63"
Aggregate amountofquoted investments - At market value,-,-,"1,056.67","1,349.96"
