0,1,2,3
,EUR,USD,AUD
Financial assets,,,
Trade receivables,47.85,352.67,-
Bank balances in EEFC,8.04,97.30,-
accounts,,,
Derivative assets - Foreign exchange forward contracts (Sell Foreign Currency),(169.31),(581.21),
Net exposure to foreign currency risk (assets),(113.42),(131.24),
Financial liabilities,,,
Trade payables,59.69,50.77,0.09
Derivative assets - Foreign exchange forward contracts (Buy Foreign Currency),(83.69),(93.26),
Net exposure to foreign currency risk (liabilities),(24.00),(42.49),0.09
