0,1,2,3,4
"As at January 1, 2016",,Less than 1 year,1-5 years,
Trade payables,,"1,577.10",-,"1,577.10"
Derivative financial liabilities,,15.34,23.81,39.15
Others (Refer note 16),,"1,546.70",28.44,"1,575.14"
Total,,"3,139.14",52.25,"3,191.39"
