0,1
,"Year endedDecember 31, 2017"
Accounting profit before tax (after share of profit of associate),"1,079.33"
Tax at statutory income tax rate of 34.61% (2016: 34.61%),373.53
Tax effect of amounts which are not deductible (taxable) in,
calculating taxable income,
- Donations,2.61
- Other items,(4.15)
Adjustments for current-tax of prior periods,16.50
Share of profit of associate,(17.92)
Difference in tax rates,(0.09)
Income-tax expense,370.48
