0,1,2,3,4
(i),Reconciliation of number of equity shares,,,
"As atDecember 31, 2017","As atDecember 31, 2016 34,807,844","As atJanuary 1, 2016 34,807,844",,
Shares outstanding at the beginning and end of the year,"34,807,844",,,
(ii),Terms/ rights attached to equity shares,,,
