0,1,2
1000000 Equity Shares of Rs.10 each,10000000.00,10000000.00
1000000 Preference Shares of Rs.100 each,100000000.00,100000000.00
,110000000.00,110000000.00
ISSUED SUBSCRIBED AND FULLY PAID-UP,,
1000000 Equity Shares of Rs.10 each,10000000.00,10000000.00
1000000 Preference Shares of Rs.100 each,100000000.00,100000000.00
Total,110000000.00,110000000.00
(a) Reconciliation ofShare Capital,,
Shares outstanding as at 1st April 2016 / 1st April 2015- Equity Shares,10000000,10000000
Shares outstanding as at 31st March 2017 / 31st March 2016 - Equity Shares,10000000,10000000
Shares outstanding as at 1st April 2016 / 1st April 2015- Preference Shares,1000000,1000000
Shares outstanding as at 31st March 2017 / 31st March 2016 - Preference Shares,1000000,1000000
