0,1,2
Particulars,31 March 2018,31 March 2017
('in crores),('in crores),
Capital expenditure,,
Plants and machinery - capitalized during the year,4.23,21.38
Plants and machinery - purchased during the year but pending for capitalization,2.92,-
Software - capitalized during the year,0.25,-
,7.40,21.38
Revenue expenditure,,
"Salaries, wages and bonus",16.07,8.25
Raw materials consumed,1.16,1.37
General expenses,11.10,5.65
Total,28.33,15.27
