0,1,2
Particulars,As at 31 March 2016(Rs. in laks ),As at 31 March 2015(Rs. in laks)
Trade Investments,,
(a) Investment in Equity instruments,0.60,0.60
(b) Investments in partnership firms*,307.85,271.00
Total,308.45,271.60
Details of quoted / unquoted investments,,
Particulars,As at 31 March 2016,As at 31 March 2015
,(Rs. in laks),(Rs. in laks)
Aggregate amount of quoted investments,—,—
and market value thereof,,
Aggregate amount of un-quoted,308.45,271.60
investments at book value,,
Total,308.45,271.60
