0,1,2,3
,"As atDecember 31, 2017","As atDecember 31, 2016","As atJanuary 1, 2016"
Working capital facilities from banks,116.59,51.84,12.97
(secured),,,
Payable to banks (against bills,9.75,18.03,24.13
discounted) (unsecured),,,
Total,126.34,69.87,37.10
Terms of repayment for borrowings,,,
Terms of repayment,As at,As at,As at
,"December 31, 2017","December 31, 2016","January 1, 2016"
Working capital Repayable within,116.59,51.84,12.97
facilities from one year at average,,,
banks interest rate 6.5-7 %,,,
p.a.,,,
,116.59,51.84,12.97
