0,1,2,3
,31 December 2017INR in Lacs,31 December 2016INR in Lacs,1 January 2016INR in Lacs
Prepaid Expenses,433.03,444.80,408.59
"Balances with Customs, Excise, Sales Tax and GST",,,
Authorities etc,760.21,"1,191.86","1,244.81"
Merchandise Export Incentive Scheme Licences,,,
available,241.95,108.41,3.38
Advances Recoverable in Kind,267.44,312.34,331.89
Export Schemes Receivables,"1,291.91","1,157.97","1,426.39"
Export Rebate Receivables,972.17,"1,504.34","1,752.62"
Others,-,6.61,-
,"3,966.71","4,726.33","5,167.68"
