0,1,2
Particulars,Year Ended 31-Mar-2017,Year Ended31-Mar-2016
Net Profit after tax as per statement of Profit & Loss attributable,"(12,905.54)","(2,107.75)"
to equity share holders,,
Weighted average Number of Equity Shares used as Denominator,"19,656,164","19,656,164"
for CalculatingEPS,,
Basic & Diluted Earning Per Share (Rs.),(65.66),(10.72)
Face Value per Equity Share (Rs.),10.00,10.00
