0,1,2,3,4
Particulars,As at 31 March 2017,Asat31 Mar2016,,
Number,Rs.,Number,Rs.,
AuthorisedEquity Shares of Rs.10 each 10% Cumulative RedeemablePreference shares of Rs.100 eachIssuedEquity Shares of Rs.10 each 10% Cumulative RedeemablePreference shares of Rs.100 eachSubscribed & Paid udEquity Shares of Rs.10 each 10% Cumulative RedeemablePreference shares of Rs.100 eachForfeited Shares :,"25,000,0002.000.000","2,500.002,000.00","25,000,0002,000,000","2,500.002,000.00"
"27,000,000","4,500.00","27,000,000","4,500.00",
"19,926,2091.871.250","1,992.621.871.25","19,926,2091.871.250","1,992.621.871.25",
"21,797,459","3,863.87","21,797,459","3,863.87",
"19,656,1641,871,250","1,965.621,871.25","19,656,1641,871,250","1,965.621,871.25",
"21,527,414","3,836.87","21,527,414","3,836.87",
,1.60,,1.60,
Total,"21,527,414","3,838.47","21,527,414","3,838.47"
