0,1,2
II are as follows,,
Assets,Method of Depreciation,Rate
Building,Written Down Value Method,10.00%
Computers,Straight Line Method,25.00%
Furniture and Fixtures,Straight Line Method,9.50%
Office Equiments,Straight Line Method,19.00%
