0,1,2,3,4
,,,,
,,,,
Depreciation/Amortization,Net Block,,,
Dep. As on01.04.2016,Dep.For the year 20162017,Total Depreciation,Net Block as on31.03.2017,Net Block as on31.03.2016
Rs.,Rs.,Rs.,Rs.,Rs.
-,-,-,"157,63,957","157,63,957"
"86,42,663","10,18,887","96,61,550","234,34,394","244,53,281"
"79,77,055","11,57,329","91,34,384","100,29,304","111,86,633"
"35,43,761","3,21,625","38,65,386","30,72,609","33,94,234"
"283,30,096","43,98,251","327,28,347","470,49,719","514,47,970"
"1215,38,420","52,33,027","1267,71,446","680,29,349","732,62,375"
"38,88,535","9,23,732","48,12,267","40,95,826","50,19,558"
"44,90,866","6,66,538","51,57,405","57,07,593","63,74,132"
"25,60,375",-,"25,60,375",0,0
"26,16,895","6,49,099","32,65,995","23,29,114","29,78,214"
-,-,-,"625,30,759","625,30,759"
"1835,88,666","143,68,488","1979,57,154","2420,42,625","2564,11,113"
,,,,
