0,1,2,3,4
"As at December 31, 2016",,Less than 1 year,1-5 years,
Trade payables,,"1,958.64",-,"1,958.64"
Derivative financial liabilities,,1.80,0.19,1.99
Others (Refer note 16),,"1,772.91",30.98,"1,803.89"
Total,,"3,733.35",31.17,"3,764.52"
